Institution,Count
Business executives,150.4891917293233
Government officials,167.3670112781955
Judges and magistrates,143.2608082706767
Legislature,166.59601706970128
Local government councillors,104.66666666666666
Police,174.84821428571428
Prime Minister / President,95.66666666666666
Religious leaders,80.54365079365078
Tax officials,105
Traditional leaders,75
